Subject,Chapter_Name,Category,Question_Text,Answer_or_Hint,,
,,,Receipts  | Amount ₹ | Payments  | Amount ₹,,,
,,,To cash (Initial Investment) | 50000 | By Drawings | 12000,,,
,,,To visit Fees | 20000 | By Rent | 3000,,,
,,,To Dispensary Fees | 45000 | By Salaries  | 18000,,,
,,,To Sundry Receipt  | 7500 | By Stationery | 2500,,,
,,, | 0 | By Telephone Charges | 500,,,
,,, | 0 | By Drugs  | 12500,,,
,,, | 0 | By Equipment | 22500,,,
,,, | 0 | By Furniture | 32500,,,
,,, | 0 | By Journals | 600,,,
,,, | 0 | By Electricity Charges | 800,,,
,,, | 0 | By Travelling expenses | 1100,,,
,,, | 0 | By Insurance Premium   (Dispensary) | 1500,,,
,,, | 0 | By Charity  | 2500,,,
,,, | 0 | By Balance c/d | 12500,,,
,,, | 122500 |  | 122500,,,
,,,Adjustment:,,,
,,,1. Salaries outstanding are ₹.300 and payment of purchase of drugs still payable ₹.750.,,,
,,,"2. Stock of stationery ₹.800 and stock of drugs ₹.1,250 at the end of the year.",,,
,,,3. 50% of the travelling expenses were for domestic purposes.,,,
,,,4. Charge depreciation @ 10% on furniture and 15% on equipments.,,,
,,,"5. Visit fees are still receivable ₹.500 and dispensary fees ₹.1,000 is still receivable.",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Extra_Practical,Dr. Ram Patil commenced Medical practice on 1.04.2016. He has prepared the following Receipts and Payments Account for the year 31.03.2017.,,,
,,,"Receipts and Payments Account for the year ended on 31st March, 2017",,,
,,,Dr | 0 |  | Cr,,,
,,,Receipts  | Amount ₹ | Payments  | Amount ₹,,,
,,,To Cash introduced (Capital fund) | 60000 | ,,,
,,,To Income from Visits | 80000 | ,,,
,,,To Receipts from Dispensary | 160000 | ,,,
,,,To Miscellaneous Receipts | 2000 | ,,,
,,,To Interest received on Investment | 1000 | ,,,
,,,To Receipts from Operation Fees Receipt | 20000 | ,,,
,,,By Furniture |  | 80000,,,
,,,By Honorarium to Doctors |  | 20000,,,
,,,By Equipments |  | 100000,,,
,,,By Purchase of Drugs |  | 20000,,,
,,,By Compounder’s Salary |  | 24000,,,
,,,By Rent of Dispensary |  | 12000,,,
,,,By Conveyance Charges |  | 4000,,,
,,,By Stationery |  | 1200,,,
,,,By Operation Expenses |  | 16000,,,
,,,By Lighting |  | 800,,,
,,,By Journals and Newspapers |  | 1600,,,
,,,By Telephone Expenses | 0 | 1000,,,
,,,By Investments | 0 | 14400,,,
,,,By Balance c/d (Closing balance)  | 0 | 28000,,,
,,,TOTAL | 323000 | 323000,,,
,,,Adjustment:,,,
,,,"1. ₹ 5,000 were still to be received on account of the visits.",,,
,,,"2. Compounders salary of ₹ 3,000, Bill of Stationery ₹ 1,000 and Rent of dispensary ₹ 1,000 are outstanding.",,,
,,,3. 25% amount of conveyance charges were for private use.,,,
,,,"4. Stock of Drugs on hand was estimated at ₹ 2,000.",,,
,,,5. Furniture and Equipments are to be depreciated at 10%.,,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Extra_Practical,"From the following Receipts and Payments Account of Ambala Sport Club for the year ending 31st March, 2016 and adjustments, prepare Income and Expenditure A/c for the year ended 31st March, 2016 and a Balance Sheet as on that date.",,,
,,,"Receipts and Payments Account for the year ended on 31st March, 2017",,,
,,,Dr | 0 |  | Cr,,,
,,,Receipt  | Amount ₹ | Payments  | Amount ₹,,,
,,,To Balance b/d (Cash) | 21000 | By Salaries | 16800,,,
,,,To Entrance Fees | 12750 | By Repairs | 2250,,,
,,,To Subscriptions | 15750 | By Rent | 6750,,,
,,,To Donations | 30000 | By Stationery | 5250,,,
,,,To Locker Rent | 9000 | By Sports Material | 39750,,,
,,,To Income from Annual gathering | 12000 | By Tournament Expenses | 6000,,,
,,,To Sale of Old News Papers  | 300 | By Electricity Charges | 3750,,,
,,, | 0 | By Annual Gathering Expenses | 14400,,,
,,, | 0 | By Balance c/d/ (Cash) | 5850,,,
,,, | 100800 |  | 100800,,,
,,,Adjustment:,,,
,,,1. 50% of entrance fees and entire amount of donations are to be capitalised.,,,
,,,"2. The assets as on 1-4-2015 were: Furniture: ₹ 37,500, Sport Materials: ₹ 22,500, while capital fund was ₹ 85,500",,,
,,,3. Locker rent is received for 10 months only.,,,
,,,4. There are 120 members paying Rs.150 as subscription per year.,,,
,,,"5. Subscription of ₹ 2,250 received with respect to the year 2004-05",,,
,,,"6. Outstanding Salaries and Rent ₹ 7,500 and ₹ 6,000 respectively.",,,
,,,"7. Stock of stationery as on 1-04-15 was ₹ 2,250, while as on 31.3.2016 was ₹ 3,000.",,,
,,,"8. Furniture and Sport Materials were valued at ₹ 33,000 and ₹ 55,500 respectively",,,
BK,Chapter 2 : Accounts for Non Profit Organisation (NPO),Extra_Practical,"From the following Receipts and Payments Account of Sangameshwar Sports Club for the year ending 31st March, 2017, you are required to prepare Income and Expenditure Account for the year ending 31st March, 2017 and Balance Sheet as on that date. ",,,
,,,"Receipts and Payments Account for the year ended on 31st March, 2017",,,
,,,Dr | 0 |  | Cr,,,
,,,Receipt  | Amount ₹ | Payments  | Amount ₹,,,
,,,To Balance (1-4-06) | 0 | By Salaries | 100000,,,
,,,Cash in Hand | 37500 | By Wages | 100000,,,
,,,Cash in Bank | 537500 | By Postage and Telegram | 37500,,,
,,,To Subscription | 312500 | By Printing and Stationery | 62500,,,
,,,To Donations | 562500 | By Hire of Ground | 37500,,,
,,,To Entrance Fees | 312500 | By Sports Material (Purchased on 1-1-17) | 500000,,,
,,,To Interest | 37500 | By Insurance | 125000,,,
,,,To Miscellaneous Receipts | 37500 | By Balance (31-3-17) | 0,,,
,,,  | 0 | Cash in Hand | 25000,,,
,,, | 0 | Cash in Bank | 850000,,,
,,, | 1837500 |  | 1837500,,,
,,,Additional Information:,, ,
,,,"1. Subscription include ₹ 2,000 received for the year 2015-16 and subscription of ₹ 5,000 is due for current year but not received yet.",,,
,,,"2. Assets as on 1st April, 2016 were as follows:
(a) Building ₹ 3,00,000                 (c) Investments ₹ 1,50,000
(b) Sports Materials ₹ 2,50,000    (d) Furniture ₹ 1,50,000",,,
,,,"3. Provide depreciation on Building, Sports Material and Furniture at 5% p.a.",,,
,,,4. Capitalise 50% of Donations and Entrance fees.,,,
,,,"5. Insurance of ₹ 5,000 is paid in advance.",,,
,,,"6. Salaries are outstanding at ₹ 5,000 and Interest ₹ 5,000 is due but not received.",,,
,,,"7. Capital Fund was ₹ 10,82,000 as 1-4-2016.",,,
